,t,mean,amp,var,both
0,0.0,-12732896962431.0,,-12533949045451.934,
1,0.020843744794269533,-12759811689055.117,,-12551743047926.664,
2,0.041687489588539066,-12780191454595.453,,-12570027221933.057,
3,0.0625312343828086,-12802470960694.291,,-12603574731847.68,
4,0.08337497917707813,-12830332586058.621,,-12655821542533.133,
5,0.10421872397134765,-12846916246150.3,,-12709921206749.621,
6,0.1250624687656172,-12826759084541.56,,-12734019397776.44,
7,0.14590621355988673,-12780805303241.523,,-12734458488058.129,
8,0.16674995835415626,-12722568225585.193,,-12721179370588.65,
9,0.1875937031484258,-12676502714417.709,,-12713677742803.088,
10,0.2084374479426953,-12660199139708.56,,-12725273108359.592,
11,0.22928119273696485,-12665056203451.43,,-12749320315355.492,
12,0.2501249375312344,-12669411338594.158,,-12761629767083.385,
13,0.2709686823255039,-12675944160169.842,,-12774781630227.182,
14,0.29181242711977345,-12688173255654.293,,-12793955531244.637,
15,0.312656171914043,-12711065992319.06,,-12826481674239.94,
16,0.3334999167083125,-12730496386798.719,,-12858299935873.416,
17,0.35434366150258206,-12749760470182.098,,-12895198347357.383,
18,0.3751874062968516,-12767684270602.684,,-12929791279701.084,
19,0.3960311510911211,-12781308325368.033,,-12953336745798.977,
20,0.4168748958853906,-12775054257925.414,,-12950349231412.8,
21,0.43771864067966015,-12754170994812.328,,-12923004036681.146,
22,0.4585623854739297,-12712963831092.592,,-12871775874692.11,
23,0.4794061302681993,-12665503027831.855,,-12813693320749.584,
24,0.5002498750624688,-12626696202021.285,,-12767718899327.76,
25,0.5210936198567383,-12603133323875.107,,-12749893330952.488,
26,0.5419373646510078,-12597772905193.36,,-12762474329559.387,
27,0.5627811094452774,-12596879874512.605,,-12791850904181.26,
28,0.5836248542395469,-12602518619425.832,,-12841114409895.26,
29,0.6044685990338164,-12604864090838.38,,-12897995781282.984,
30,0.625312343828086,-12599670601332.996,,-12946364096405.64,
31,0.6461560886223555,-12576946220183.344,,-12964910733004.105,
32,0.666999833416625,-12540093668615.494,,-12950207486403.041,
33,0.6878435782108946,-12486768901555.613,,-12906923721150.068,
34,0.7086873230051641,-12412953114534.244,,-12833423702714.46,
35,0.7295310677994337,-12324172704517.023,,-12737833348903.89,
36,0.7503748125937032,-12230534137230.54,,-12635284097507.79,
37,0.7712185573879727,-12135612150352.088,,-12544768536507.262,
38,0.7920623021822422,-12046385676668.412,,-12475986051419.637,
39,0.8129060469765117,-11972848643780.088,,-12437120695886.162,
40,0.8337497917707812,-11912154269754.516,,-12409407347442.027,
41,0.8545935365650508,-11846657318125.66,,-12371200960049.768,
42,0.8754372813593203,-11767313802889.125,,-12303626473691.047,
43,0.8962810261535898,-11692044719332.674,,-12230673479232.21,
44,0.9171247709478594,-11645197574539.523,,-12180956811926.105,
45,0.937968515742129,-11635594130939.408,,-12168910681424.275,
46,0.9588122605363986,-11657648941143.174,,-12194623300881.86,
47,0.979656005330668,-11675685374779.066,,-12227566203500.693,
48,1.0004997501249375,-11691264084144.105,,-12278288899363.957,
49,1.021343494919207,-11706115788656.916,,-12344707312076.895,
50,1.0421872397134766,-11732470867506.81,,-12430796097474.318,
51,1.0630309845077461,-11773008935726.887,,-12522059488541.328,
52,1.0838747293020157,-11830353363059.498,,-12609604678415.621,
53,1.1047184740962852,-11892555519759.744,,-12676831122663.832,
54,1.1255622188905547,-11945767843782.828,,-12715347778477.494,
