,t,mean,amp,var,both
0,0.0,-54.85490417255639,-1177.5878523083927,-35.783080143002586,-945.1572769084188
1,0.020843744794269533,-53.886841729395016,-1215.3735238322379,-32.19467958907679,-992.3476257913866
2,0.041687489588539066,-50.669804951815834,-1239.773382906394,-26.064425991969046,-1029.1680729478128
3,0.0625312343828086,-47.26978076120009,-1256.90800815885,-20.437985707878738,-1058.3443026327552
4,0.08337497917707813,-43.72218607619995,-1269.7048619348934,-15.433055944298067,-1079.8371309473393
5,0.10421872397134765,-42.44127418494362,-1283.8055609915332,-13.836150438497759,-1100.6401880112735
6,0.1250624687656172,-44.94997258947776,-1291.9262990394973,-17.83862356545656,-1116.7644551957212
7,0.14590621355988673,-50.72883314956956,-1293.4445392641503,-27.209806990282296,-1127.493243738969
8,0.16674995835415626,-58.662222927673064,-1292.9714173070165,-40.67526651210674,-1138.3613091133948
9,0.1875937031484258,-66.26505479835551,-1292.7252605256435,-55.01614219266935,-1150.649189413949
10,0.2084374479426953,-71.73106591035248,-1300.0782058562238,-66.6753989131547,-1168.2845038982362
11,0.22928119273696485,-74.09809664027775,-1318.4969203033054,-73.374629659027,-1189.2713388823904
12,0.2501249375312344,-73.87969230858874,-1343.9142301206743,-75.19790256954948,-1208.3302549346452
13,0.2709686823255039,-72.26231969013618,-1372.0542540739732,-73.69947058409082,-1224.752608480943
14,0.29181242711977345,-68.66159962715773,-1393.5617175844757,-68.72763210380407,-1233.7691890614396
15,0.312656171914043,-63.41399284684969,-1403.3057103099068,-60.755244166753386,-1230.312438838783
16,0.3334999167083125,-57.00353057079282,-1398.4254846594336,-51.030827855825166,-1213.8464642253168
17,0.35434366150258206,-50.62258239361283,-1388.735019600784,-41.744453615770155,-1195.6579958152108
18,0.3751874062968516,-45.35726715397866,-1384.7853287169871,-34.19772575059874,-1190.719144875275
19,0.3960311510911211,-42.03397962044274,-1391.7182326748741,-28.662301977875483,-1200.5709248828916
20,0.4168748958853906,-40.79438746761407,-1411.0459728610201,-24.96896814660525,-1225.1872216640393
21,0.43771864067966015,-41.70342171302176,-1436.4706166415422,-22.867608214940105,-1253.424256538595
22,0.4585623854739297,-45.28053049689877,-1464.8523093019803,-22.9210455660785,-1279.809729321439
23,0.4794061302681993,-52.57051291948641,-1496.6361682832396,-26.7926851801394,-1306.267789917362
24,0.5002498750624688,-63.60878589943707,-1532.276738565776,-34.00541138726278,-1335.050137245188
25,0.5210936198567383,-78.30680714011974,-1569.6512410023486,-45.21933709790121,-1369.752070675736
26,0.5419373646510078,-97.13089940378951,-1607.2041124189384,-60.502147864236555,-1408.564320888414
27,0.5627811094452774,-116.44492570881542,-1633.0928499614572,-76.86375971312687,-1437.8831742222665
28,0.5836248542395469,-133.1203915742486,-1643.8177809148378,-92.51497132762096,-1454.1273312386022
29,0.6044685990338164,-143.946163042286,-1637.901331219775,-105.25067283616305,-1457.0480364184436
30,0.625312343828086,-148.62119630438252,-1616.4846358115976,-114.40944263248186,-1448.623155317167
31,0.6461560886223555,-148.86321191517237,-1583.6439554176661,-121.22933641565535,-1430.5320679626584
32,0.666999833416625,-147.80660717538083,-1554.0836211367528,-127.6253735705946,-1416.090554833044
33,0.6878435782108946,-145.00867060185334,-1529.3199379300388,-132.19962759043267,-1406.4636450970495
34,0.7086873230051641,-141.53781257393297,-1514.342224975535,-135.01694529626317,-1404.8090861708977
35,0.7295310677994337,-137.6183402430841,-1505.9902144822067,-134.74446576274943,-1405.275777544739
36,0.7503748125937032,-134.57838805876625,-1502.6482134414016,-132.42900677178264,-1403.0240512677506
37,0.7712185573879727,-132.5478180560373,-1504.2273199107744,-127.95153484189483,-1398.4132160530162
38,0.7920623021822422,-132.25267706726842,-1511.6420131694038,-122.81920295201685,-1392.5086927270718
39,0.8129060469765117,-132.67177727132022,-1526.5703808479304,-117.13356868626659,-1390.7313495798085
40,0.8337497917707812,-132.2526770672686,-1553.0388818221488,-110.88053530065524,-1401.0862843023326
41,0.8545935365650508,-129.7852984011619,-1582.9478812142731,-103.7333976595766,-1419.7334308584916
42,0.8754372813593203,-125.48804560468925,-1608.066830999547,-95.66003157824277,-1438.8947878965362
43,0.8962810261535898,-118.59945492682724,-1620.0173033759102,-85.17792517726497,-1447.5707310949801
44,0.9171247709478594,-109.24348558285811,-1618.449526259948,-72.46197293641151,-1445.582801631543
45,0.937968515742129,-98.95487071438039,-1598.0259114903315,-59.90284401260607,-1424.1466716929508
46,0.9588122605363986,-89.88223671962947,-1565.3327519228094,-50.44402951687044,-1388.732252977464
47,0.979656005330668,-82.52142045973733,-1521.5331670009612,-44.85641231359718,-1339.9039833556305
48,1.0004997501249375,-76.51825274818134,-1476.6535335439346,-42.51213456760279,-1288.886245705834
49,1.021343494919207,-71.60710669506967,-1437.434893226345,-42.371600359638016,-1243.6124679736135
50,1.0421872397134766,-65.95220535026075,-1414.5937224549268,-41.634528747012986,-1218.542433461434
51,1.0630309845077461,-61.02335083782288,-1406.2119017332577,-40.731574336365675,-1212.4596651611116
52,1.0838747293020157,-56.87957135550998,-1416.509415891303,-39.12573539331451,-1226.7489167346553
53,1.1047184740962852,-52.75940315229844,-1441.2356942207587,-36.318556176123884,-1255.926190048213
54,1.1255622188905547,-48.86354210055124,-1475.1541312292388,-31.988667924677593,-1292.6260392347788
55,1.1464059636848243,-45.788172997581015,-1506.66518169779,-26.895952077440384,-1326.1021155565056
56,1.1672497084790938,-43.999618605642524,-1527.1017069293366,-21.681694586019038,-1348.4616523870122
57,1.1880934532733634,-41.449600462680685,-1525.9868319763293,-14.499725474586779,-1350.0805386312059
58,1.208937198067633,-37.32352943969378,-1502.926230458154,-5.601761878166912,-1331.3674121816327
59,1.2297809428619024,-31.5033491411744,-1470.1267911253228,5.34781393458171,-1302.6861222565828
60,1.250624687656172,-22.967871745982684,-1435.6467211033764,18.975998745537215,-1274.8294737039878
61,1.2714684324504415,-12.85043865099057,-1405.789608840998,33.45313030991922,-1253.2447133658236
62,1.292312177244711,-2.567726602287964,-1372.434991927258,46.98296601254558,-1227.3671645357458
63,1.3131559220389806,5.170870123228176,-1342.2982677454545,55.808486854210486,-1202.0642952668725
64,1.33399966683325,8.989994517895562,-1317.6099891426713,58.5113947274667,-1180.5546354122735
65,1.3548434116275194,10.017085158810747,-1300.2196118820334,56.144390623093166,-1167.3255179434923
66,1.3756871564217892,7.850750301248258,-1286.312665117211,49.26132273622478,-1161.4181276131847
67,1.3965309012160585,4.031625906580873,-1271.9818649178724,39.9420962112003,-1160.6700317818602
68,1.4173746460103283,0.03541691865224778,-1255.2706207080087,30.476349894847797,-1159.8875082324805
69,1.4382183908045976,-3.400024190615787,-1237.023984569831,21.793923737141345,-1158.4059018200037
70,1.4590621355988673,-5.802471839193261,-1219.9644178836513,15.420148771758257,-1157.5570297190422
